company,slogan
McDonald’s Corp.,I'm Lovin' It.
McGraw Hill Financial,Open markets. Open minds.
McKesson Corp.,Empowering Healthcare.
Mead Johnson,Makers of the fluoride-vitamin supplements doctors prescribe most.
Medtronic plc,Alleviating Pain • Restoring Health • Extending Life
Merck & Co.,Committed to making a difference.
MetLife Inc.,It's at times like this that Metlife sets itself apart.
Michael Kors Holdings,"A chic, luxurious, sexy fragrance for women."
Microchip Technology,"anything that revolves, anything that moves."
Micron Technology,Performance. Power. Reliability.
Microsoft Corp.,Your Potential. Our Passion.
Mohawk Industries,It’s more than a floor.
Molson Coors Brewing Company,The Banquet Beer.
Mondelez International,Make today delicious.
Monsanto Co.,Growth for a Better World.
Monster Beverage,Fuel Your Fire.
Moody’s Corp,"Small Business, Credit Index."
Morgan Stanley,World Wise.
Motorola Solutions Inc.,Helping customers be their best in the moments that matter.
Murphy Oil,Exploration Driven. Delivery focused.
Mylan N.V.,Seeing is believing.
NASDAQ OMX Group,Trade up.
NRG Energy,We generate power.
National Oilwell Varco Inc.,One Company Unlimited Solutions.
Navient,Solutions for your success.
NetApp,Go further faster.
Netflix Inc.,It just might bring everyone together.
Newell Rubbermaid Co.,Brands That Matter.
Newfield Exploration Co,Balance of Exploration and Acquisitions.
Newmont Mining Corp. (Hldg. Co.),The Gold Company.
News Corp.,Fair & Balanced.
NextEra Energy,We Heard You.
NiSource Inc.,"Premier Safety, Reliability and Service."
Nielsen Holdings,"What People Watch, Listen To and Buy."
Nike,Just Do It!
Noble Energy Inc,"Energizing the World, Bettering People’s Lives."
Nordstrom,Reinvent Yourself.
Norfolk Southern Corp.,The Thoroughbred.
Northern Trust Corp.,"You know your destination. You need a wise, caring advisor alongside you."
Northrop Grumman Corp.,Defining the future.
Nucor Corp.,It’s Our Nature.
Nvidia Corporation,The Way It’s Meant to be Played.
ONEOK,The ONE in energy.
Occidental Petroleum,"Develop energy resources safely, profitably and responsibly."
Omnicom Group,The only we can.The media agencies.
Oracle Corp.,Oracle is THE information company.
Owens-Illinois Inc,"Packaging Solutions everywhere, everyday."
O’Reilly Automotive,Professional Part People.
PACCAR Inc.,The World’s Best.
PG&E Corp.,Climate Smart.
PNC Financial Services,Leading the Way.
PPG Industries,We protect and beautify the world.
PPL Corp.,We’ll Be There When The Light Goes On.
PVH Corp.,The Way Forward: Evolve Everyday.
Parker-Hannifin,Engineering YOUR success.
Patterson Companies,Building Connections For Healthier Communities.
PayPal,The safer way to pay online.
Paychex Inc.,Payroll. HR. Retirement. Insurance.
Pentair Ltd.,Pentair water.
People’s United Financial,Everything Starts With You.
PepsiCo Inc.,Pepsi. It’s the cola.
PerkinElmer,For the Better.
Perrigo,Quality Affordable Healthcare Products.
Pfizer Inc.,Pfizer Quality.
Philip Morris International,Looks To The Future.
Phillips 66,Proud To Be Here.
Pinnacle West Capital,The choice for digital video.
Pioneer Natural Resources,Creativity Beyond Imagination.
Pitney-Bowes,Powering the transactions that drive commerce.
Polo Ralph Lauren Corp.,World of Ralph Lauren.
Praxair Inc.,MAKING OUR PLANET MORE PRODUCTIVE.
Priceline.com Inc,Name your price.
Principal Financial Group,We’ll Give You an Edge.
Procter & Gamble,"Touching lives, improving life."
Progressive Corp.,"It’s about you, and it’s about time."
Prologis,The strategic partner for Global trade.
Prudential Financial,Bring Your Challenges.
